id	name	dlina	code1	tt		price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	cat	url	path	cat_url	ord	code2	code3	analog	prim	prim2	mesto1	mesto2	img_path	img1	img2	img3	img4	img5	desc	Comment	flanec_type	flanec_code	otv	D_po_centram_otv	D_vneshnyi	burt	truba	krest	krest_code	krest_D	krest_dlina	moment	max_moment	ugol		max_dlina	hod	do_krest	chastota_vrasch	D_vnesh	ot_torca	Осевой ход опоры	par12	text12	par13	text13	par14	text14	par15	text15	w	h	l	m
33	Вал карданный КамАЗ, переднего моста L=1127	1127	43114-2203011					19 250	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-43114-2203011_l-1127-mm	/kardanyi_valy/catalog/kamaz/								переднего моста		/kardanyi_valy/img/kamkardan/	43114-2203011_1127_1.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135				10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.13	35.9
35	Вал карданный КамАЗ, среднего моста L=699	699	43114-2205011					28 050	К-Сервис, Н.Челны	33 913	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43114-2205011_l-699-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-65115(КПП-ZF9S), 43114(КПП-142), 5360, 65111(КПП-152 разд- 43114 и 65111), 65111(КПП-ZF9S, разд- 65111), -53216, -5350 (ДВС-740-30-260 КП-152, РК-65111), 6350 (база 1940+3340+1320, РК 65111), КамАЗ-63501 (КПП-ZF16S151, база1940+3340/3690+1320, РК 65111), КамАЗ-6426-1033-10, КамАЗ-65111, КамАЗ-65115 (КПП-ZF9S109), КамАЗ-65116, НефАЗ: модификации НефАЗ-5297, Яровит:	65115(КПП-ZF9S), 43114(КПП-142), 5360, 65111(КПП-152 разд- 43114 и 65111), 65111(КПП-ZF9S, разд- 65111), 43114, 53216, 5350 (ДВС-740-30-260 КП-152, РК-65111), КамАЗ-6350 (база 1940+3340+1320, РК 65111), КамАЗ-63501 (КПП-ZF16S151, база1940+3340/3690+1320, РК 65111), КамАЗ-6426-1033-10, КамАЗ-65115 (КПП-ZF9S109), КамАЗ-65116, НефАЗ-5297, Яровит	среднего моста	от РК до сред.моста	/kardanyi_valy/img/kamkardan/	55111-2205011_786__euro.jpg							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.2	0.2	0.7	40.2
37	Вал карданный КамАЗ, заднего моста L=709	709	43118-2201011-10					18 920	К-Сервис, Н.Челны	30 913	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2201011-10_l-709-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	43118-2201011-10.jpg																																					0.2	0.2	0.71	32.1
39	Вал карданный КамАЗ, основной L=501	501	43118-2202011					43 450	К-Сервис, Н.Челны	45 225	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2202011_l-501-mm	/kardanyi_valy/catalog/kamaz/								основной		/kardanyi_valy/img/kamkardan/	43114-2202011-01.jpg																		9800	11000	44			44														0.22	0.22	0.51	
41	Вал карданный КамАЗ, Основной L=585	585	43118-2202011-10					28 050	К-Сервис, Н.Челны	45 225	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2202011-10_l-585-mm	/kardanyi_valy/catalog/kamaz/								Основной		/kardanyi_valy/img/kamkardan/	43118-2202011.jpg									Ø15x4	150					53205-2205025			12500	18000				60														0.245	0.245	0.59	40
43	Вал карданный КамАЗ, Основной L=440	440	43118-2202011-31					22 550	К-Сервис, Н.Челны	43 263	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2202011-31_l-440-mm	/kardanyi_valy/catalog/kamaz/							применяется при замене РК 4310/43114 на РК 65111	Основной	от КПП до РК	/kardanyi_valy/img/kamkardan/	43118_2202011_31.jpg					Основной, Торц.шлицы, Больш.фланцы, от КПП до РК		евро с торц.шлицами, большой, T180		Ø15x4	150			105 х 6	57 х 152	53205-2205025			25000	18000	15˚			34	100 мм	2000 об/мин	не более 174 мм (обточено)											0.245	0.245	0.44	37.5
45	Вал карданный КамАЗ, Основной L=520	520	43118-2202011-80					28 380	К-Сервис, Н.Челны	43 263	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2202011-80_l-520-mm	/kardanyi_valy/catalog/kamaz/								Основной		/kardanyi_valy/img/kamkardan/	43118-22020111.jpg																																					0.2	0.2	0.52	32
47	Вал карданный КамАЗ, переднего моста L=1305	1305	43118-2203011-30			19 600	Восстановленный	27 250	К-Сервис, Н.Челны	32 650	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2203011-30_l-1305-mm	/kardanyi_valy/catalog/kamaz/						КамАЗ-43118 (КПП-ZF9S109), -4355, -53228 (РК-43114), -65111 (РК-43114)		переднего моста	от РК до пер.моста	/kardanyi_valy/img/kamkardan/	43118-2203011-30_1305_.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135				10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.31	37.4
49	Вал карданный КамАЗ, переднего моста L=1285	1285	43118-2203011-31			19 600	Восстановленный	27 250	К-Сервис, Н.Челны	32 650	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2203011-31_l-1285-mm	/kardanyi_valy/catalog/kamaz/						Вал привода переднего моста КамАЗ-43118 (КПП-КамАЗ), -53228 (РК-65111)		переднего моста	от РК до пер.моста	/kardanyi_valy/img/kamkardan/	43118-2203011-31_1285_.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135				10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.29	37.2
51	Вал карданный КамАЗ, среднего/переднего моста L=1322	1322	43118-2205011					28 380	К-Сервис, Н.Челны	32 838	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2205011_l-1322-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43118, 6560, 4355	Сред.моста 43118 / Перед.моста №1 6560	среднего/переднего моста		/kardanyi_valy/img/kamkardan/	43118-1300.jpg					(Сред.моста 43118 / Перед.моста №1 6560)		евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.33	46.2
53	Вал карданный КамАЗ, среднего моста L=1347	1347	43118-2205011-16											КАМАЗ	kardan-kamaz-43118-2205011-16_l-1347-mm	/kardanyi_valy/catalog/kamaz/				Р43118-2205011-16				среднего моста																																								0.245	0.245	1.35	
55	Вал карданный КамАЗ, среднего моста L=897	897	43118-2205011-49											КАМАЗ	kardan-kamaz-43118-2205011-49_l-897-mm	/kardanyi_valy/catalog/kamaz/				Р43118-2205011-49				среднего моста																																								0.245	0.245	0.9	
57	Вал карданный КамАЗ, среднего моста L=1722	1722	43118-2205011-50											КАМАЗ	kardan-kamaz-43118-2205011-50_l-1722-mm	/kardanyi_valy/catalog/kamaz/				Р43118-2205011-50				среднего моста																																								0.245	0.245	1.73	
59	Вал карданный КамАЗ, среднего моста L=1522	1522	43118-2205011-90					30 250	К-Сервис, Н.Челны	33 238	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43118-2205011-90_l-1522-mm	/kardanyi_valy/catalog/kamaz/								среднего моста	от РК до сред.моста	/kardanyi_valy/img/kamkardan/	43118-13001.jpg							евро с торц.шлицами, большой, T180																														0.245	0.245	1.53	
61	Вал карданный КамАЗ, среднего моста L=1297	1297	43118-2205011-ZF9S											КАМАЗ	kardan-kamaz-43118-2205011-ZF9S_l-1297-mm	/kardanyi_valy/catalog/kamaz/				Р43118-2205011-ZF9S				среднего моста																																								0.245	0.245	1.3	
63	Вал карданный КамАЗ, заднего моста L=860	860	4315-2201011											КАМАЗ	kardan-kamaz-4315-2201011_l-860-mm	/kardanyi_valy/catalog/kamaz/								заднего моста																																								0.245	0.245	0.86	
65	Вал карданный КамАЗ, заднего моста L=952	952	4325-2201011					19 250	К-Сервис, Н.Челны	20 213	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4325-2201011_l-952-mm	/kardanyi_valy/catalog/kamaz/						Вал - в составе карданной передачи (задняя часть) автомобиля 4325 Внимание: 4325-2201011 снят с производства 4325-2201011 применяемая крестовина - 5320-2205025-01, -02		заднего моста		/kardanyi_valy/img/kamkardan/	64371-2205010-01_-________64371_990.jpg							квадратный, гладкий		Ø16,1x4	140		Ø95х2,5	82x4	52x133				10000		25˚		2070 мм	125	78 мм	2000 об/мин	не более 161 мм											0.245	0.245	0.96	34.6
67	Вал карданный КамАЗ, заднего моста L=952	952	4325-2201011-01					19 250	К-Сервис, Н.Челны	20 213	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4325-2201011-01_l-952-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	64371-2205010-01_-________64371_990.jpg									Ø16,1x4	140			32,6		5320-2205025-02			7840	9000	136			136														0.245	0.245	0.96	32.6
69	Карданная передача КамАЗ, с пром-опорой L=2812	2812	43253-2201006					62 150	К-Сервис, Н.Челны	73 738	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43253-2201006_l-2812-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		с пром-опорой		/kardanyi_valy/img/kamkardan/	peredacha-kamaz.jpg					Состоит из 43253-2202011 и 43253-2201011 с пром-опорой L1=1287; L2=1525				Ø15x4	150			80		53205-2205025			12500	18000	120			120														0.245	0.245	2.82	80
71	Вал карданный КамАЗ, заднего моста L=934	934	43253-2201011											КАМАЗ	kardan-kamaz-43253-2201011_l-934-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		заднего моста																																								0.245	0.245	0.94	
73	Вал карданный КамАЗ, заднего моста L=1520 (1525)	1520 (1525)	43253-2201011-10					30 250	К-Сервис, Н.Челны	33 038	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43253-2201011-10_l-1520-1525-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ 43253, 6522, 6522-27, 652228, 6522-36, 6522-38, 65224, 64225-27, 65225-28	Пер.мост 6522 / зад.мост 43253	заднего моста		/kardanyi_valy/img/kamkardan/	43253-22001011-10_1520_1.jpg							евро с торц.шлицами, большой, T180		Ø15x4	150			94 х 4	50 х 155	53205-2205025			12500	18000	30˚		2150 мм	120	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	#VALUE!	48.1
75	Вал карданный КамАЗ, заднего моста L=1239	1239	43253-2201011-20					28 050	К-Сервис, Н.Челны	32 238	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43253-2201011-20_l-1239-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		заднего моста		/kardanyi_valy/img/kamkardan/	53502.jpg							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.24	45.4
77	Вал карданный КамАЗ, заднего моста L=950	950	43253-2201011-52					28 050	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-43253-2201011-52_l-950-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		заднего моста		/kardanyi_valy/img/kamkardan/	kamaz-23205-33.jpg																																					0.245	0.245	0.95	
79	Вал карданный КамАЗ, Промежуточный, с пром.опорой L=1287	1287	43253-2202011											КАМАЗ	kardan-kamaz-43253-2202011_l-1287-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		Промежуточный, с пром.опорой								Промежуточный, с пром.опорой																																0.245	0.245	1.29	
81	Вал карданный КамАЗ, Основной L=1287	1287	43253-2202011-10					28 050	К-Сервис, Н.Челны	40 713	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43253-2202011-10_l-1287-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-43253		Основной		/kardanyi_valy/img/kamkardan/	43253-2202011-10.jpg									Ø15x4	150			0		53205-2205025			12500	18000	0																	0.245	0.245	1.29	
83	Вал карданный КамАЗ, заднего моста L=1679	1679	43254-2201011					30 250	К-Сервис, Н.Челны	33 425	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43254-2201011_l-1679-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	noimage.gif							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.68	49.7
85	Вал карданный КамАЗ, заднего моста L=1709	1709	43255-2201011											КАМАЗ	kardan-kamaz-43255-2201011_l-1709-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308, 43253, 43255		заднего моста										евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.71	49.9
87	Вал карданный КамАЗ, заднего моста L=1613	1613	43255-2201011-10					30 250	К-Сервис, Н.Челны	33 425	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43255-2201011-10_l-1613-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308, 43253, 43255		заднего моста		/kardanyi_valy/img/kamkardan/	noimage.gif							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.62	49
89	Вал карданный КамАЗ, заднего моста L=1622	1622	43255-2201011-20					30 250	К-Сервис, Н.Челны	33 425	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43255-2201011-20_l-1622-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	4326-2201001-1565mm1.jpg							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.63	49.1
91	Вал карданный КамАЗ, заднего моста L=1613	1613	43255-2201011-30					26 950	К-Сервис, Н.Челны	33 038	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43255-2201011-30_l-1613-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	53205-2201011-10_709_.jpg									Ø15x4	150			47		53205-2205025			12500	18000	165			165														0.245	0.245	1.62	47
93	Вал карданный КамАЗ, заднего моста L=		43255-2201011-30					26 950	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-43255-2201011-30_l--mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	53205-2201011-10_709_.jpg									Ø15x4	150			47		53205-2205025			12500	18000	165			165														0.245	0.245	0	47
95	Вал карданный КамАЗ, заднего моста L=1565	1565	4326-2201011					25 850	К-Сервис, Н.Челны	34 613	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4326-2201011_l-1565-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ - 4326-4х4		заднего моста	от РК до зад.моста	/kardanyi_valy/img/kamkardan/	4326-2201001-1565mm6.jpg					Вал аналогичный - 4326-2201011-01 (с рильсановым покрытием шлицевой части вилки скользящей)		круглые, гладкие 8отв.		Ø10,1x8	185	203.5	Ø198х3	94 х 4	52 х 133				12500		28˚		2150 мм	160	90 мм	2000 об/мин	не более 161 мм											0.25	0.25	1.57	46
97	Вал карданный КамАЗ, заднего/среднего моста L=1546	1546	4326-2201011-10					30 250	К-Сервис, Н.Челны	37 363	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4326-2201011-10_l-1546-mm	/kardanyi_valy/catalog/kamaz/						привода заднего моста а/м КамАЗ-4326, -43261, -4350, НефАЗ-42111,   привода переднего моста а/м КамАЗ-6522-xx	привода заднего моста -4350 (КПП-152, разд-65111), 65115(КПП-ZF9S), 4326(КПП-142,-152 и раздат-43114), НефАЗ-42111,   привода переднего моста а/м КамАЗ-6522, -6522-15, -6522-27, -6522-28, -6522-30, -6522-36, -6522-38, -6522-99, -65225-27, -65225-28	заднего/среднего моста	от РК до зад.моста	/kardanyi_valy/img/kamkardan/	4326-2201011_1565_.jpg							евро с торц.шлицами, большой, T180		Ø15x4	150			94 х 4	50 х 155	53205-2205025			12500	18000	30˚		2150 мм	140	88,5 мм	2000 об/мин	не более 190 мм											0.25	0.25	1.55	48.4
99	Вал карданный КамАЗ, среднего моста L=1540	1540	4326-2205011-10					30 250	К-Сервис, Н.Челны	37 988	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4326-2205011-10_l-1540-mm	/kardanyi_valy/catalog/kamaz/								среднего моста		/kardanyi_valy/img/kamkardan/	4326-2201011_1565_1.jpg									Ø15x4	150			48.5		53205-2205025			12500	18000	140			140														0.245	0.245	1.54	48.5
101	Вал карданный КамАЗ, заднего моста L=1981	1981	43505-2201011					26 950	К-Сервис, Н.Челны	33 425	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-43505-2201011_l-1981-mm	/kardanyi_valy/catalog/kamaz/								заднего моста		/kardanyi_valy/img/kamkardan/	noimage.gif							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.99	52.6
103	Вал карданный КамАЗ, Основной L=725	725	4355-2202011					28 050	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-4355-2202011_l-725-mm	/kardanyi_valy/catalog/kamaz/				4355-2201011 (* ошибочный)				Основной		/kardanyi_valy/img/kamkardan/	noimage.gif							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	0.73	40.4
105	Вал карданный КамАЗ, среднего моста L=1521	1521	4355-2205011-10					24 750	К-Сервис, Н.Челны	33 425	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4355-2205011-10_l-1521-mm	/kardanyi_valy/catalog/kamaz/				4355-2201011-10 (* ошибочный)				среднего моста		/kardanyi_valy/img/kamkardan/	noimage.gif							евро с торц.шлицами, большой, T180		Ø15х4	150			94 х 4	50 х 155				12500		30˚		2150 мм	165	88,5 мм	2000 об/мин	не более 190 мм											0.245	0.245	1.53	48.1
107	Вал карданный КамАЗ, заднего моста L=1713	1713	4425-2201011-11					15 950	К-Сервис, Н.Челны	25 613	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4425-2201011-11_l-1713-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4425 (седельный тягач 4x2)		заднего моста		/kardanyi_valy/img/kamkardan/	4310-2203011_1136_.jpg							квадратный, гладкий		Ø16,1x4	140		Ø95х2,5	82x4	52x133				10000		25˚		2070 мм	125	78 мм	2000 об/мин	не более 161 мм											0.2	0.2	1.72	41
